path,kind,size_bytes,duration_seconds,codec_name,sample_rate_hz,channels,mime_type,raw_url,sha256
808cy/CY7525.WAV,audio,176446,2.000023,pcm_s16le,44100,1,audio/x-wav,https://raw.githubusercontent.com/ZBZFirst/file/master/samples/808cy/CY7525.WAV,e5a77668f46b1a7c160445f432bb568dc39f98d4c2c1b2f2ace10063e8c6f102
808cy/CY7550.WAV,audio,220546,2.500023,pcm_s16le,44100,1,audio/x-wav,https://raw.githubusercontent.com/ZBZFirst/file/master/samples/808cy/CY7550.WAV,ce99385f835cf38f1be8c73e71c9ee57d2451e3901e0ffffaa0a48b5cb23d33c
808cy/CY7575.WAV,audio,308746,3.500023,pcm_s16le,44100,1,audio/x-wav,https://raw.githubusercontent.com/ZBZFirst/file/master/samples/808cy/CY7575.WAV,bf173c5c43968f29441a5a16c75dd448cd9420326c05e1c736e2d744f110e8d9
808hc/HC00.WAV,audio,44146,0.500023,pcm_s16le,44100,1,audio/x-wav,https://raw.githubusercontent.com/ZBZFirst/file/master/samples/808hc/HC00.WAV,e1c3328d5943e08bbb1204283966e49764329809c5f93e759140db9cade12547
808hc/HC10.WAV,audio,44146,0.500023,pcm_s16le,44100,1,audio/x-wav,https://raw.githubusercontent.com/ZBZFirst/file/master/samples/808hc/HC10.WAV,21a3b7dfb1d87e8a5f83c645b85adf7e6aca53654b08f460f226c2cff0ce3b67
808hc/HC25.WAV,audio,44146,0.500023,pcm_s16le,44100,1,audio/x-wav,https://raw.githubusercontent.com/ZBZFirst/file/master/samples/808hc/HC25.WAV,3476e81b5a43031d7dccdf3d15706c0ca4cb0acfc384b8686791f55c253fe6e1
808hc/HC50.WAV,audio,44146,0.500023,pcm_s16le,44100,1,audio/x-wav,https://raw.githubusercontent.com/ZBZFirst/file/master/samples/808hc/HC50.WAV,ee4354b1fb79126e455a5343161f5c1e78165874df8a74dece78cbb5b6964af9
808hc/HC75.WAV,audio,44146,0.500023,pcm_s16le,44100,1,audio/x-wav,https://raw.githubusercontent.com/ZBZFirst/file/master/samples/808hc/HC75.WAV,660f956127198dc5db1673d029de39615d7b4028f40a729f46dd95245d8cf46d
808ht/HT00.WAV,audio,88246,1.000023,pcm_s16le,44100,1,audio/x-wav,https://raw.githubusercontent.com/ZBZFirst/file/master/samples/808ht/HT00.WAV,96d0de026d7421e05d35b07905ff85072985db1d6fc1eea286c00aaa1836ff97
808ht/HT10.WAV,audio,88246,1.000023,pcm_s16le,44100,1,audio/x-wav,https://raw.githubusercontent.com/ZBZFirst/file/master/samples/808ht/HT10.WAV,aef7d50fc43965c35ef2fde924b19f3fa4be08a9132d0095514d0fae4b5c9202
808ht/HT25.WAV,audio,88246,1.000023,pcm_s16le,44100,1,audio/x-wav,https://raw.githubusercontent.com/ZBZFirst/file/master/samples/808ht/HT25.WAV,5ed0365551d140dacd1a2b3c9959657f176a4c221d897700ec42de625c86cc1e
